Model,Win,Difficulty,Max_Turns,Iteration,Rule,Turns_Taken,Duration,Examples_Shown
gpt-4o-mini,0,L1,5,5,"def is_even_length_and_contains_unique_characters(word):
    return len(word) % 2 == 0 and len(set(word.lower())) == len(word)

generated_fn = is_even_length_and_contains_unique_characters
",2,18.13,6
gpt-4o-mini,0,L1,7,1,"def is_vowel_count_less_than_three(word):
    vowels = 'aeiou'
    vowel_count = sum(1 for char in word.lower() if char in vowels)
    return vowel_count < 3

generated_fn = is_vowel_count_less_than_three
",7,48.86,16
gpt-4o-mini,0,L1,7,2,"def is_unique_length_and_vowel_start(word):
    return len(word) == len(set(word.lower())) and word[0].lower() in 'aeiou'
generated_fn = is_unique_length_and_vowel_start
",7,51.49,16
gpt-4o-mini,0,L1,7,3,"def is_length_multiple_of_three_and_contains_r(word):
    return len(word) % 3 == 0 and 'r' in word.lower()

generated_fn = is_length_multiple_of_three_and_contains_r
",5,32.86,12
gpt-4o-mini,0,L1,7,4,"def is_unique_consonant_count_greater_than_two(word):
    consonants = 'bcdfghjklmnpqrstvwxyz'
    unique_consonant_count = len(set(char.lower() for char in word if char.lower() in consonants))
    return unique_consonant_count > 2

generated_fn = is_unique_consonant_count_greater_than_two
",7,37.9,16
gpt-4o-mini,0,L1,7,5,"def is_odd_length_and_contains_unique_vowel(word):
    unique_vowels = len(set(char for char in word.lower() if char in 'aeiou'))
    return len(word) % 2 != 0 and unique_vowels == 1

generated_fn = is_odd_length_and_contains_unique_vowel
",3,28.81,8
gpt-4o,0,L1,1,1,"def is_even_length_with_unique_characters(word):
    return len(word) % 2 == 0 and len(set(word.lower())) == len(word)

generated_fn = is_even_length_with_unique_characters
",1,10.13,4
gpt-4o,0,L1,1,2,"def is_unique_even_length_with_consonants(word):
    consonants = 'bcdfghjklmnpqrstvwxyz'
    return len(word) % 2 == 0 and len(set(char.lower() for char in word if char.lower() in consonants)) > 2

generated_fn = is_unique_even_length_with_consonants
",1,11.94,4
gpt-4o,0,L1,1,3,"def is_unique_length_and_contains_d(word):
    return len(word) == len(set(word.lower())) and 'd' in word.lower()

generated_fn = is_unique_length_and_contains_d
",1,15.81,4
gpt-4o,0,L1,1,4,"def is_unique_vowel_count_and_odd_length(word):
    vowels = 'aeiou'
    unique_vowel_count = len(set(char.lower() for char in word if char.lower() in vowels))
    return unique_vowel_count % 2 != 0 and len(word) % 2 != 0

generated_fn = is_unique_vowel_count_and_odd_length
",1,12.18,4
gpt-4o,0,L1,1,5,"def is_length_multiple_of_six(word):
    return len(word) % 6 == 0

generated_fn = is_length_multiple_of_six
",1,15.12,4
gpt-4o,0,L1,3,1,"def is_unique_length_and_odd_consonant_count(word):
    consonants = 'bcdfghjklmnpqrstvwxyz'
    consonant_count = sum(1 for char in word.lower() if char in consonants)
    return len(word) == len(set(word.lower())) and consonant_count % 2 != 0

generated_fn = is_unique_length_and_odd_consonant_count
",3,615.35,8
gpt-4o,0,L1,3,2,"def is_unique_length_and_odd_vowel_count(word):
    vowels = 'aeiou'
    vowel_count = sum(1 for char in word.lower() if char in vowels)
    return len(word) == len(set(word.lower())) and vowel_count % 2 != 0

generated_fn = is_unique_length_and_odd_vowel_count
",3,13.87,8
gpt-4o,0,L1,3,3,"def is_consonant_start_and_odd_length(word):
    return len(word) % 2 != 0 and word[0].lower() not in 'aeiou'
generated_fn = is_consonant_start_and_odd_length
",3,29.41,8
gpt-4o,0,L1,3,4,"def is_unique_character_count(word):
    return len(set(word.lower())) == len(word) and len(word) % 2 == 1

generated_fn = is_unique_character_count
",3,15.13,8
gpt-4o,0,L1,3,5,"def is_unique_consonant_and_odd_length(word):
    consonants = 'bcdfghjklmnpqrstvwxyz'
    unique_consonant_count = len(set(char.lower() for char in word if char.lower() in consonants))
    return unique_consonant_count % 2 != 0 and len(word) % 2 != 0

generated_fn = is_unique_consonant_and_odd_length
",1,12.88,4
gpt-4o,0,L1,5,1,"def has_even_position_vowel_count(word):
    vowels = 'aeiou'
    even_position_vowel_count = sum(1 for i in range(1, len(word), 2) if word[i].lower() in vowels)
    return even_position_vowel_count % 2 == 0

generated_fn = has_even_position_vowel_count
",1,7.67,4
gpt-4o,0,L1,5,2,"def is_length_greater_than_three_and_contains_t(word):
    return len(word) > 3 and 't' in word.lower()
generated_fn = is_length_greater_than_three_and_contains_t
",5,18.76,12
gpt-4o,0,L1,5,3,"def is_unique_first_character(word):
    return len(set(word.lower())) == len(word) and word[0].lower() not in word[1:].lower()

generated_fn = is_unique_first_character
",5,15.11,12
gpt-4o,0,L1,5,4,"def is_even_length_with_odd_vowel_count(word):
    vowels = 'aeiou'
    vowel_count = sum(1 for char in word.lower() if char in vowels)
    return len(word) % 2 == 0 and vowel_count % 2 != 0
generated_fn = is_even_length_with_odd_vowel_count
",5,17.09,12
gpt-4o,0,L1,5,5,"def is_unique_length_with_even_consonants(word):
    consonants = 'bcdfghjklmnpqrstvwxyz'
    consonant_count = sum(1 for char in word.lower() if char in consonants)
    return len(word) == len(set(word.lower())) and consonant_count % 2 == 0

generated_fn = is_unique_length_with_even_consonants
",5,14.16,12
gpt-4o,0,L1,7,1,"def is_unique_length_and_odd_vowel_count(word):
    vowels = 'aeiou'
    vowel_count = sum(1 for char in word.lower() if char in vowels)
    return len(word) == len(set(word.lower())) and vowel_count % 2 != 0

generated_fn = is_unique_length_and_odd_vowel_count
",7,579.28,16
gpt-4o,0,L1,7,2,"def is_even_length_and_contains_unique_vowel(word):
    vowels = 'aeiou'
    unique_vowels = len(set(char.lower() for char in word if char.lower() in vowels))
    return len(word) % 2 == 0 and unique_vowels == 1

generated_fn = is_even_length_and_contains_unique_vowel
",7,27.22,16
gpt-4o,0,L1,7,3,"def is_even_length_and_unique_vowels(word):
    vowels = 'aeiou'
    unique_vowel_count = len(set(char.lower() for char in word if char.lower() in vowels))
    return len(word) % 2 == 0 and unique_vowel_count == 2

generated_fn = is_even_length_and_unique_vowels
",7,17.58,16
gpt-4o,0,L1,7,4,"def is_unique_second_to_last_letter(word):
    return word[-2].lower() not in word[:-2].lower() and len(word) > 2

generated_fn = is_unique_second_to_last_letter
",7,20.29,16
gpt-4o,0,L1,7,5,"def is_length_multiple_of_seven_and_contains_r(word):
    return len(word) % 7 == 0 and 'r' in word.lower()

generated_fn = is_length_multiple_of_seven_and_contains_r
",7,19.13,16
claude-3-haiku-20240307,0,L1,1,1,"def is_even_length_and_contains_odd_vowels(word):
    vowels = 'aeiou'
    vowel_count = sum(1 for char in word.lower() if char in vowels)
    return len(word) % 2 == 0 and vowel_count % 2 != 0

generated_fn = is_even_length_and_contains_odd_vowels
",1,16.52,4
claude-3-haiku-20240307,0,L1,1,2,"def is_length_odd_and_contains_a(word):
    return len(word) % 2 != 0 and 'a' in word.lower()

generated_fn = is_length_odd_and_contains_a
",1,6.41,4
claude-3-haiku-20240307,0,L1,1,3,"def is_unique_letter_count_and_odd_length(word):
    return len(set(word.lower())) == len(word) and len(word) % 2 != 0

generated_fn = is_unique_letter_count_and_odd_length
",1,5.52,4
claude-3-haiku-20240307,0,L1,1,4,"def is_unique_length_and_odd_letter_count(word):
    letter_count = sum(1 for char in word if char.isalpha())
    return len(word) == len(set(word.lower())) and letter_count % 2 != 0

generated_fn = is_unique_length_and_odd_letter_count
",1,16.53,4
claude-3-haiku-20240307,0,L1,1,5,"def is_length_greater_than_five_and_contains_vowel(word):
    return len(word) > 5 and any(char in 'aeiou' for char in word.lower())
generated_fn = is_length_greater_than_five_and_contains_vowel
",1,6.78,4
claude-3-haiku-20240307,0,L1,3,1,"def is_even_length_and_has_unique_vowels(word):
    unique_vowels = len(set(char.lower() for char in word if char.lower() in 'aeiou'))
    return len(word) % 2 == 0 and unique_vowels > 1
generated_fn = is_even_length_and_has_unique_vowels
",3,7.62,8
claude-3-haiku-20240307,0,L1,3,2,"def is_length_even_and_has_odd_consonants(word):
    consonants = 'bcdfghjklmnpqrstvwxyz'
    consonant_count = sum(1 for char in word.lower() if char in consonants)
    return len(word) % 2 == 0 and consonant_count % 2 != 0

generated_fn = is_length_even_and_has_odd_consonants
",3,27.84,8
claude-3-haiku-20240307,0,L1,3,3,"def is_unique_length_and_contains_y(word):
    return len(word) == len(set(word.lower())) and 'y' in word.lower()

generated_fn = is_unique_length_and_contains_y
",3,14.13,8
claude-3-haiku-20240307,0,L1,3,4,"def is_alternating_vowel_consonant_count(word):
    vowels = 'aeiou'
    vowel_count = sum(1 for char in word.lower() if char in vowels)
    consonant_count = sum(1 for char in word.lower() if char.isalpha() and char not in vowels)
    return vowel_count % 2 != consonant_count % 2

generated_fn = is_alternating_vowel_consonant_count
",3,8.45,8
claude-3-haiku-20240307,0,L1,3,5,"def is_unique_length_and_odd_vowel_count(word):
    vowels = 'aeiou'
    vowel_count = sum(1 for char in word.lower() if char in vowels)
    return len(word) == len(set(word.lower())) and vowel_count % 2 != 0

generated_fn = is_unique_length_and_odd_vowel_count
",3,8.2,8
claude-3-haiku-20240307,0,L1,5,1,"def is_unique_length_and_odd_count(word):
    return len(word) == len(set(word.lower())) and sum(1 for char in word if char.lower() in 'aeiou') % 2 != 0

generated_fn = is_unique_length_and_odd_count
",5,7.93,12
claude-3-haiku-20240307,0,L1,5,2,"def is_consonant_odd_vowel_count(word):
    vowels = 'aeiou'
    vowel_count = sum(1 for char in word.lower() if char in vowels)
    return word[0].lower() not in vowels and vowel_count % 2 != 0

generated_fn = is_consonant_odd_vowel_count
",5,8.53,12
claude-3-haiku-20240307,0,L1,5,3,"def is_unique_length_and_ends_with_consonant(word):
    return len(word) == len(set(word.lower())) and word[-1].lower() not in 'aeiou'

generated_fn = is_unique_length_and_ends_with_consonant
",5,6.63,12
claude-3-haiku-20240307,0,L1,5,4,"def is_odd_length_with_unique_last_letter(word):
    return len(word) % 2 != 0 and word[-1].lower() not in word[:-1].lower()

generated_fn = is_odd_length_with_unique_last_letter
",5,7.73,12
claude-3-haiku-20240307,0,L1,5,5,"def is_unique_length_and_contains_vowel(word):
    return len(word) == len(set(word.lower())) and any(char in 'aeiou' for char in word.lower())
generated_fn = is_unique_length_and_contains_vowel
",5,8.92,12
claude-3-haiku-20240307,0,L1,7,1,"def is_length_greater_than_four_and_contains_c(word):
    return len(word) > 4 and 'c' in word.lower()
generated_fn = is_length_greater_than_four_and_contains_c
",7,14.83,16
claude-3-haiku-20240307,0,L1,7,2,"def is_even_length_and_has_odd_vowel_count(word):
    vowels = 'aeiou'
    vowel_count = sum(1 for char in word.lower() if char in vowels)
    return len(word) % 2 == 0 and vowel_count % 2 != 0

generated_fn = is_even_length_and_has_odd_vowel_count
",7,9.83,16
claude-3-haiku-20240307,0,L1,7,3,"def is_unique_length_and_not_contains_s(word):
    return len(word) == len(set(word.lower())) and 's' not in word.lower()
generated_fn = is_unique_length_and_not_contains_s
",7,7.4,16
claude-3-haiku-20240307,0,L1,7,4,"def is_prime_length(word):
    def is_prime(n):
        if n <= 1:
            return False
        for i in range(2, int(n**0.5) + 1):
            if n % i == 0:
                return False
        return True

    return is_prime(len(word))

generated_fn = is_prime_length
",7,8.15,16
claude-3-haiku-20240307,0,L1,7,5,"def is_length_greater_than_five_and_contains_vowel(word):
    return len(word) > 5 and any(char in 'aeiou' for char in word.lower())
generated_fn = is_length_greater_than_five_and_contains_vowel
",7,18.84,16
gemini-1.5-flash,0,L1,1,1,"def is_length_even_and_starts_with_consonant(word):
    return len(word) % 2 == 0 and word[0].lower() not in 'aeiou'
generated_fn = is_length_even_and_starts_with_consonant
",1,6.96,4
gemini-1.5-flash,0,L1,1,2,"def is_unique_length_and_contains_t(word):
    return len(word) == len(set(word.lower())) and 't' in word.lower()

generated_fn = is_unique_length_and_contains_t
",1,7.97,4
gemini-1.5-flash,0,L1,1,3,"def is_consonant_start_with_even_length(word):
    return len(word) % 2 == 0 and word[0].lower() not in 'aeiou'

generated_fn = is_consonant_start_with_even_length
",1,7.08,4
gemini-1.5-flash,0,L1,1,4,"def is_length_greater_than_three_and_contains_unique_letter(word):
    return len(word) > 3 and len(set(word.lower())) == len(word)

generated_fn = is_length_greater_than_three_and_contains_unique_letter
",1,18.81,4
gemini-1.5-flash,0,L1,1,5,"def is_unique_vowel_consonant_ratio(word):
    vowels = 'aeiou'
    vowel_count = sum(1 for char in word.lower() if char in vowels)
    consonant_count = sum(1 for char in word.lower() if char.isalpha() and char not in vowels)
    return vowel_count != 0 and consonant_count / vowel_count > 1

generated_fn = is_unique_vowel_consonant_ratio
",1,9.52,4
gemini-1.5-flash,0,L1,3,1,"def is_different_letter_pattern(word):
    return len(set(word.lower())) % 2 == 1

generated_fn = is_different_letter_pattern
",3,11.12,8
gemini-1.5-flash,0,L1,3,2,"def is_length_multiple_of_five(word):
    return len(word) % 5 == 0

generated_fn = is_length_multiple_of_five
",3,16.28,8
gemini-1.5-flash,0,L1,3,3,"def is_unique_length_and_contains_even_letter_count(word):
    letter_count = sum(1 for char in word if char.isalpha())
    return len(word) == len(set(word.lower())) and letter_count % 2 == 0

generated_fn = is_unique_length_and_contains_even_letter_count
",3,13.21,8
gemini-1.5-flash,0,L1,3,4,"def is_unique_length_with_even_digit_count(word):
    digit_count = sum(char.isdigit() for char in word)
    return len(word) == len(set(word.lower())) and digit_count % 2 == 0

generated_fn = is_unique_length_with_even_digit_count
",3,10.3,8
gemini-1.5-flash,0,L1,3,5,"def is_unique_length_and_contains_vowel(word):
    return len(word) == len(set(word.lower())) and any(char in 'aeiou' for char in word.lower())

generated_fn = is_unique_length_and_contains_vowel
",3,10.08,8
gemini-1.5-flash,0,L1,5,1,"def is_unique_length_with_odd_consonant_count(word):
    consonants = 'bcdfghjklmnpqrstvwxyz'
    consonant_count = sum(1 for char in word.lower() if char in consonants)
    return len(word) == len(set(word.lower())) and consonant_count % 2 != 0

generated_fn = is_unique_length_with_odd_consonant_count
",5,20.29,12
gemini-1.5-flash,0,L1,5,2,"def is_unique_length_and_odd_vowel_count(word):
    vowels = 'aeiou'
    vowel_count = sum(1 for char in word.lower() if char in vowels)
    return len(word) == len(set(word.lower())) and vowel_count % 2 != 0

generated_fn = is_unique_length_and_odd_vowel_count
",5,14.69,12
gemini-1.5-flash,0,L1,5,3,"def is_alternating_start_end_vowel(word):
    return (word[0].lower() in 'aeiou' and word[-1].lower() in 'aeiou') or (word[0].lower() not in 'aeiou' and word[-1].lower() not in 'aeiou')

generated_fn = is_alternating_start_end_vowel
",2,15.14,6
gemini-1.5-flash,0,L1,5,4,"def is_unique_length_and_has_unique_consonants(word):
    consonants = 'bcdfghjklmnpqrstvwxyz'
    unique_consonant_count = len(set(char.lower() for char in word if char.lower() in consonants))
    return len(word) == len(set(word.lower())) and unique_consonant_count > 2

generated_fn = is_unique_length_and_has_unique_consonants
",5,15.79,12
gemini-1.5-flash,0,L1,5,5,"def is_length_odd_and_second_letter_vowel(word):
    return len(word) % 2 != 0 and word[1].lower() in 'aeiou' if len(word) > 1 else False

generated_fn = is_length_odd_and_second_letter_vowel
",5,16.68,12
gemini-1.5-flash,0,L1,7,1,"def is_unique_length_and_ends_with_vowel(word):
    return len(word) == len(set(word.lower())) and word[-1].lower() in 'aeiou'
generated_fn = is_unique_length_and_ends_with_vowel
",7,23.41,16
gemini-1.5-flash,0,L1,7,2,"def is_length_greater_than_four_and_contains_d(word):
    return len(word) > 4 and 'd' in word.lower()

generated_fn = is_length_greater_than_four_and_contains_d
",2,10.44,6
gemini-1.5-flash,0,L1,7,3,"def is_unique_length_and_contains_p(word):
    return len(word) == len(set(word.lower())) and 'p' in word.lower()

generated_fn = is_unique_length_and_contains_p
",7,22.96,16
gemini-1.5-flash,0,L1,7,4,"def is_length_odd_and_contains_unique_vowel(word):
    unique_vowels = len(set(char for char in word.lower() if char in 'aeiou'))
    return len(word) % 2 != 0 and unique_vowels == 1

generated_fn = is_length_odd_and_contains_unique_vowel
",7,26.55,16
gemini-1.5-flash,0,L1,7,5,"def is_odd_length_with_repeated_first_character(word):
    return len(word) % 2 != 0 and word.lower().count(word[0].lower()) > 1
generated_fn = is_odd_length_with_repeated_first_character
",7,21.5,16
